PDs,File Size(GB),Max File(GB),#Evts(K),#Lumis,avg. Evt Size(MB),avg. Lumi Size (GB)
HIMinimumBias1,5230,9.131,13212,3512,0.396,1.489
HIMinimumBias2,4250,6.253,3969,3500,1.071,1.214
HIForward,333,12.876,1211,3713,0.275,0.090
HIPhoton40AndZ,1090,4.286,298,3432,3.656,0.318
HIEWQExo,2095,6.194,635,3675,3.301,0.570
HIOniaCentral30L2L3,1937,8.401,525,3583,3.688,0.541
HIOniaPeripheral30100,476,4.291,339,3587,1.403,0.133
HIOniaL1DoubleMu0,4373,8.644,1270,3335,3.443,1.311
HIHardProbes,9097,11.972,3309,3099,2.749,2.936
HIHardProbesPeripheral,854,4.275,948,3410,0.901,0.251
HIFlowCorr,4028,8.669,1073,3098,3.752,1.300
HIOniaTnP,3975,8.626,1394,3651,2.852,1.089
RAW,37744,12.876,28187,41595,1.339,0.907
